产品名称,品牌,尺码,原价,折扣,SPU,山茶花SKU,商家SKU
真丝蕾丝睡袍 白色,Into This Dream,L,2708.0,1899.0,1005214,10052140103,SSYOP18181-BP-L,
真丝蕾丝睡袍 淡粉色,Into This Dream,S,2708.0,1899.0,1005214,10052140201,SSYOP18181-FP-S,
真丝蕾丝睡袍 淡粉色,Into This Dream,M,2708.0,1899.0,1005214,10052140202,SSYOP18181-FP-M,
真丝蕾丝睡袍 淡粉色,Into This Dream,L,2708.0,1899.0,1005214,10052140203,SSYOP18181-FP-L,
「出游季」真丝蕾丝吊带连衣裙 白色,Into This Dream,S,1856.0,1299.0,1005215,10052150101,SSYOP18182-BL-S,
「出游季」真丝蕾丝吊带连衣裙 白色,Into This Dream,M,1856.0,1299.0,1005215,10052150102,SSYOP18182-BL-M,
「出游季」真丝蕾丝吊带连衣裙 白色,Into This Dream,L,1856.0,1299.0,1005215,10052150103,SSYOP18182-BL-L,
「出游季」真丝蕾丝吊带连衣裙 蓝色,Into This Dream,S,1856.0,1299.0,1005215,10052150201,SSYOP18182-LL-S,
「出游季」真丝蕾丝吊带连衣裙 蓝色,Into This Dream,M,1856.0,1299.0,1005215,10052150202,SSYOP18182-LL-M,
「出游季」真丝蕾丝吊带连衣裙 蓝色,Into This Dream,L,1856.0,1299.0,1005215,10052150203,SSYOP18182-LL-L,
真丝蕾丝睡衣套装 粉色,Into This Dream,S,2139.0,1509.0,1005216,10052160101,SSYSU18183-FT-S,
真丝蕾丝睡衣套装 粉色,Into This Dream,M,2139.0,1509.0,1005216,10052160102,SSYSU18183-FT-M,
真丝蕾丝睡衣套装 粉色,Into This Dream,L,2139.0,1509.0,1005216,10052160103,SSYSU18183-FT-L,
真丝蕾丝睡衣套装 蓝色,Into This Dream,S,2139.0,1509.0,1005216,10052160201,SSYSU18183-LT-S,
真丝蕾丝睡衣套装 蓝色,Into This Dream,M,2139.0,1509.0,1005216,10052160202,SSYSU18183-LT-M,
真丝蕾丝睡衣套装 蓝色,Into This Dream,L,2139.0,1509.0,1005216,10052160203,SSYSU18183-LT-L,
「出游季」摇摇曳曳的耳边鎏金 Akoya 珍珠流苏耳饰,Into This Dream,均码,1380.0,0,1005217,10052170101,1,
「出游季」It's mine 缎面凉拖鞋-复古桃,Camelia,36,1269.0,980.0,1005229,10052290101,LAF18262H-36,
「出游季」It's mine 缎面凉拖鞋-复古桃,Camelia,37,1269.0,980.0,1005229,10052290102,LAF18262H-37,
「出游季」It's mine 缎面凉拖鞋-复古桃,Camelia,38,1269.0,980.0,1005229,10052290103,LAF18262H-38,
「出游季」It's mine 缎面凉拖鞋-复古桃,Camelia,39,1269.0,980.0,1005229,10052290104,LAF18262H-39,
「出游季」It's mine 缎面凉拖鞋-复古绿,Camelia,36,1269.0,980.0,1005229,10052290201,LAF18262L-36,
「出游季」It's mine 缎面凉拖鞋-复古绿,Camelia,37,1269.0,980.0,1005229,10052290202,LAF18262L-37,
「出游季」It's mine 缎面凉拖鞋-复古绿,Camelia,38,1269.0,980.0,1005229,10052290203,LAF18262L-38,
「出游季」It's mine 缎面凉拖鞋-复古绿,Camelia,39,1269.0,980.0,1005229,10052290204,LAF18262L-39,
「出游季」It's mine 缎面凉拖鞋-珍珠白,Camelia,36,1269.0,980.0,1005230,10052300101,LAF18264B-36,
「出游季」It's mine 缎面凉拖鞋-珍珠白,Camelia,37,1269.0,980.0,1005230,10052300102,LAF18264B-37,
「出游季」It's mine 缎面凉拖鞋-珍珠白,Camelia,38,1269.0,980.0,1005230,10052300103,LAF18264B-38,
「出游季」It's mine 缎面凉拖鞋-珍珠白,Camelia,39,1269.0,980.0,1005230,10052300104,LAF18264B-39,
「出游季」Co.Bag 帆布包 Morandi莫兰迪,Camelia,58cm*34.5cm*12.5cm,368.0,258.0,1005248,10052480101,SSLAB18271KB,
法式系列-V领系带连衣裙 白色,Into This Dream,S,1129.0,899.0,1005252,10052520101,LOP18222-B-S,
法式系列-V领系带连衣裙 白色,Into This Dream,M,1129.0,899.0,1005252,10052520102,LOP18222-B-M,
法式系列-V领系带连衣裙 白色,Into This Dream,L,1129.0,899.0,1005252,10052520103,LOP18222-B-L,
「出游季」法式系列-圆点半身裹身裙 黑底白点,Into This Dream,S,899.0,699.0,1005253,10052530101,LOP18223-H-S,
「出游季」法式系列-圆点半身裹身裙 黑底白点,Into This Dream,M,899.0,699.0,1005253,10052530102,LOP18223-H-M,
「出游季」法式系列-圆点半身裹身裙 黑底白点,Into This Dream,L,899.0,699.0,1005253,10052530103,LOP18223-H-L,
法式系列-圆点半身裹身裙 白底黑点,Into This Dream,S,899.0,699.0,1005253,10052530201,LOP18223-B-S,
法式系列-圆点半身裹身裙 白底黑点,Into This Dream,M,899.0,699.0,1005253,10052530202,LOP18223-B-M,
法式系列-圆点半身裹身裙 白底黑点,Into This Dream,L,899.0,699.0,1005253,10052530203,LOP18223-B-L,
「出游季」法式系列-七分袖裹身荷叶边连衣裙 白底方点,Into This Dream,S,1099.0,799.0,1005254,10052540101,LOP18227-B-S,
「出游季」法式系列-七分袖裹身荷叶边连衣裙 白底方点,Into This Dream,M,1099.0,799.0,1005254,10052540102,LOP18227-B-M,
「出游季」法式系列-七分袖裹身荷叶边连衣裙 白底方点,Into This Dream,L,1099.0,799.0,1005254,10052540103,LOP18227-B-L,
「出游季」 法式系列-简洁七分袖连衣裙 黄色,Into This Dream,S,1129.0,899.0,1005255,10052550101,LOP18228-H-S,
「出游季」 法式系列-简洁七分袖连衣裙 黄色,Into This Dream,M,1129.0,899.0,1005255,10052550102,LOP18228-H-M,
「出游季」 法式系列-简洁七分袖连衣裙 黄色,Into This Dream,L,1129.0,899.0,1005255,10052550103,LOP18228-H-L,
 法式系列-简洁七分袖连衣裙 白底方点,Into This Dream,S,1129.0,899.0,1005255,10052550201,LOP18228-B-S,
